thetaH_deg,phiH_deg,Hr_Oe
7.499999999999999112e+00,-4.500000000000000000e+01,3.640793688195351478e+03
1.499999999999999822e+01,-4.500000000000000000e+01,3.552517765667664207e+03
2.250000000000000000e+01,-4.500000000000000000e+01,3.410102620686105638e+03
2.999999999999999645e+01,-4.500000000000000000e+01,3.231431416213179091e+03
3.750000000000000000e+01,-4.500000000000000000e+01,3.050170033935542051e+03
4.500000000000000000e+01,-4.500000000000000000e+01,2.874494239260276117e+03
5.250000000000000711e+01,-4.500000000000000000e+01,2.722433021496104629e+03
5.999999999999999289e+01,-4.500000000000000000e+01,2.605515227450876864e+03
6.750000000000000000e+01,-4.500000000000000000e+01,2.518285336344249117e+03
7.500000000000000000e+01,-4.500000000000000000e+01,2.462869877040959636e+03
8.250000000000000000e+01,-4.500000000000000000e+01,2.437148882578047051e+03
9.000000000000000000e+01,-4.500000000000000000e+01,2.441821499684947867e+03
9.750000000000000000e+01,-4.500000000000000000e+01,2.470856373721484943e+03
1.050000000000000142e+02,-4.500000000000000000e+01,2.530974982796825770e+03
1.125000000000000000e+02,-4.500000000000000000e+01,2.615935733029021321e+03
1.199999999999999858e+02,-4.500000000000000000e+01,2.728756179302296005e+03
1.275000000000000142e+02,-4.500000000000000000e+01,2.860090647958873433e+03
1.350000000000000000e+02,-4.500000000000000000e+01,3.007907269660278871e+03
1.425000000000000000e+02,-4.500000000000000000e+01,3.162904851522788704e+03
1.500000000000000000e+02,-4.500000000000000000e+01,3.316767283160275838e+03
1.575000000000000000e+02,-4.500000000000000000e+01,3.455441531033799492e+03
1.650000000000000000e+02,-4.500000000000000000e+01,3.566995098553687058e+03
1.725000000000000000e+02,-4.500000000000000000e+01,3.645157560841187205e+03
9.000000000000000000e+01,0.000000000000000000e+00,2.462779835199955414e+03
9.000000000000000000e+01,9.000000000000000000e+00,2.454111874179132428e+03
9.000000000000000000e+01,1.800000000000000000e+01,2.452388918809806000e+03
9.000000000000000000e+01,2.700000000000000000e+01,2.451095766170674779e+03
9.000000000000000000e+01,3.600000000000000000e+01,2.445305564716380559e+03
9.000000000000000000e+01,4.500000000000000000e+01,2.441155359706720446e+03
9.000000000000000000e+01,5.400000000000000000e+01,2.435755142065268501e+03
9.000000000000000000e+01,6.300000000000000000e+01,2.434311211952767735e+03
9.000000000000000000e+01,7.200000000000000000e+01,2.423218015769316935e+03
9.000000000000000000e+01,8.100000000000000000e+01,2.421411746376521933e+03
9.000000000000000000e+01,9.000000000000000000e+01,2.425060412000367251e+03
9.000000000000000000e+01,9.900000000000000000e+01,2.423460362383179472e+03
9.000000000000000000e+01,1.080000000000000000e+02,2.426768184039453899e+03
9.000000000000000000e+01,1.170000000000000000e+02,2.429047521699290883e+03
9.000000000000000000e+01,1.260000000000000000e+02,2.432024347861512069e+03
9.000000000000000000e+01,1.350000000000000000e+02,2.441063003200168623e+03
9.000000000000000000e+01,1.440000000000000000e+02,2.446367973715176504e+03
9.000000000000000000e+01,1.530000000000000000e+02,2.448990606246296011e+03
9.000000000000000000e+01,1.620000000000000000e+02,2.454800491978180162e+03
9.000000000000000000e+01,1.710000000000000000e+02,2.459390111777611764e+03
9.000000000000000000e+01,1.800000000000000000e+02,2.458876883323222501e+03
